absenter,reabsent
absorber,reabsorb
accorder,reaccord
addlings,saddling
adjuster,readjust
affecter,reaffect
affirmer,reaffirm
agonista,santiago
allergen,generall
anandria,andriana
answerer,reanswer
appealer,reappeal
arrester,rearrest
ascender,reascend
assailer,reassail
asserter,reassert
assigner,reassign
assister,reassist
attacher,reattach
attacker,reattack
attester,reattest
avoucher,reavouch
awakener,reawaken
backblow,blowback
backfall,fallback
backfire,fireback
backstop,stopback
backward,drawback
balloter,reballot
ballroom,moorball
banisher,rebanish
beggarer,rebeggar
beholder,rebehold
bellower,rebellow
belonger,rebelong
bestower,rebestow
bewailer,rebewail
billeter,rebillet
bindwood,woodbind
birdseed,seedbird
bleacher,rebleach
bleating,tangible
blighter,therblig
boilover,overboil
bonefish,fishbone
bookcase,casebook
bookland,landbook
bookshop,shopbook
bookwork,workbook
borrower,reborrow
brancher,rebranch
breakout,outbreak
broacher,rebroach
buckbush,bushbuck
budgeter,rebudget
buffeter,rebuffet
bughouse,housebug
burdener,reburden
burnfire,fireburn
burnover,overburn
bushwood,woodbush
buttoner,rebutton
calfkill,killcalf
castelet,telecast
chatwood,woodchat
chiseler,rechisel
classism,misclass
comedown,downcome
conveyer,reconvey
copperer,recopper
crateful,fulcrate
dagestan,standage
darkener,redarken
demander,redemand
depender,redepend
detecter,redetect
digester,redigest
distrait,triadist
dogwatch,watchdog
downtake,takedown
downturn,turndown
downward,drawdown
drillman,mandrill
factable,labefact
fallfish,fishfall
fasthold,holdfast
fastland,landfast
filterer,refilter
fingerer,refinger
finisher,refinish
fishpond,pondfish
fishwood,woodfish
flowerer,reflower
fomenter,refoment
footsore,sorefoot
galloper,regallop
gatherer,regather
grassman,mangrass
hackwood,woodhack
hallower,rehallow
hammerer,rehammer
handwork,workhand
hardener,reharden
harrower,reharrow
hazarder,rehazard
headlong,longhead
headnote,notehead
headrail,railhead
headring,ringhead
helpmeet,meethelp
hemiasci,ischemia
hickwall,wallhick
hillside,sidehill
hollower,rehollow
hookweed,weedhook
housetop,pothouse
imparter,reimpart
infester,reinfest
ingrowth,throwing
inguinal,unailing
inserter,reinsert
laborism,mislabor
landwash,washland
launcher,relaunch
letterer,reletter
likewise,wiselike
manwards,wardsman
marketer,remarket
mishmash,shammish
murmurer,remurmur
musterer,remuster
numberer,renumber
offender,reoffend
outpitch,pitchout
outshake,shakeout
outstand,standout
outwatch,watchout
overpass,passover
overpick,pickover
overslip,slipover
overturn,turnover
overwalk,walkover
pageship,shippage
plighter,replight
pocketer,repocket
polisher,repolish
ponderer,reponder
postsign,signpost
powderer,repowder
preacher,repreach
pulpiter,repulpit
punisher,repunish
quencher,requench
quintato,totaquin
redwithe,withered
rentaler,rerental
ribspare,sparerib
roomward,wardroom
rubiator,torrubia
shipward,wardship
shipwork,workship
shipworm,wormship
shopwork,workshop
shotstar,starshot
sidewalk,walkside
sisseton,stenosis
timework,worktime
woodworm,wormwood
abandoner,reabandon
abolisher,reabolish
addresser,readdress
afflicter,reafflict
alliancer,ralliance
applauder,reapplaud
appointer,reappoint
arianrhod,hordarian
attempter,reattempt
attracter,reattract
backswing,swingback
ballaster,reballast
bargainer,rebargain
benchwork,workbench
benefiter,rebenefit
billboard,broadbill
birdstone,stonebird
blunderer,reblunder
boathouse,houseboat
breakover,overbreak
breakwind,windbreak
burnisher,reburnish
burnsides,sideburns
caliphate,hepatical
chamberer,rechamber
charterer,recharter
chastener,rechasten
chromatid,dichromat
comforter,recomfort
commander,recommand
commender,recommend
compacter,recompact
compasser,recompass
concealer,reconceal
concocter,reconcoct
condemner,recondemn
confesser,reconfess
confirmer,reconfirm
conformer,reconform
congealer,recongeal
conjoiner,reconjoin
consigner,reconsign
consulter,reconsult
contender,recontend
contester,recontest
converter,reconvert
corrupter,recorrupt
creepered,predecree
crossover,overcross
cystolith,lithocyst
defaulter,redefault
deliverer,redeliver
derringer,regrinder
descender,redescend
developer,redevelop
discusser,rediscuss
displayer,redisplay
distiller,redistill
disturber,redisturb
downthrow,throwdown
everwhich,whichever
fashioner,refashion
faultfind,findfault
fermenter,referment
forfeiter,reforfeit
forwarder,reforward
freshener,refreshen
furbisher,refurbish
furnisher,refurnish
gallstone,stonegall
garnisher,regarnish
handstone,stonehand
harnesser,reharness
harvester,reharvest
headlight,lighthead
headstone,stonehead
headwater,waterhead
heartener,rehearten
horsewood,woodhorse
housewarm,warmhouse
housewear,warehouse
housework,workhouse
implanter,reimplant
impresser,reimpress
imprinter,reimprint
inertance,nectarine
inflicter,reinflict
inhabiter,reinhabit
installer,reinstall
instiller,reinstill
journeyer,rejourney
lacquerer,relacquer
landreeve,reeveland
larcenous,senocular
lineament,manteline
marshaler,remarshal
missioner,remission
neglecter,reneglect
nourisher,renourish
ownership,shipowner
patterner,repattern
pensioner,repension
perplexer,reperplex
picktooth,toothpick
piecework,workpiece
plasterer,replaster
plunderer,replunder
podoscaph,scaphopod
portioner,reportion
postwoman,womanpost
presenter,represent
proceeder,reproceed
protester,reprotest
publisher,republish
sidetrack,trackside
stonewood,woodstone
stormwind,windstorm
tortrices,trisector
wisewoman,womanwise
antiputrid,tripudiant
approacher,reapproach
basketwork,workbasket
bellypinch,pinchbelly
blastoderm,dermoblast
brainwater,waterbrain
brandisher,rebrandish
breakstone,stonebreak
bridgeward,drawbridge
campaigner,recampaign
carposperm,spermocarp
christener,rechristen
cladophyll,phylloclad
compounder,recompound
compressed,decompress
confounder,reconfound
confronter,reconfront
considered,deconsider
considerer,reconsider
demolisher,redemolish
desmopathy,phymatodes
diminisher,rediminish
discounter,rediscount
discoverer,rediscover
dispatcher,redispatch
distrainer,redistrain
drivescrew,screwdrive
entincture,unreticent
entreating,interagent
flourisher,reflourish
forecaster,reforecast
formulator,torulaform
frightener,refrighten
headspring,springhead
headstrong,stronghead
heightener,reheighten
imprisoner,reimprison
inspiriter,reinspirit
interester,reinterest
intrencher,reintrench
keepership,shipkeeper
landlubber,lubberland
mastership,shipmaster
masterwork,workmaster
microcrith,trichromic
occasioner,reoccasion
ornamenter,reornament
outthrough,throughout
overflower,reoverflow
overspread,spreadover
overthwart,thwartover
peckerwood,woodpecker
petitioner,repetition
positioner,reposition
proclaimer,reproclaim
prohibiter,reprohibit
questioner,requestion
registerer,reregister
silverwood,woodsilver
standstill,stillstand
straightup,upstraight
accessioner,reaccession
apportioner,reapportion
apprehender,reapprehend
behaviorism,misbehavior
broadcaster,rebroadcast
collationer,recollation
conditioner,recondition
constructer,reconstruct
copyrighter,recopyright
decimosexto,sextodecimo
disappearer,redisappear
divisionism,misdivision
graphometer,meteorgraph
grasshopper,hoppergrass
handicapper,prehandicap
interpreter,reinterpret
interrupter,reinterrupt
interviewer,reinterview
paragrapher,reparagraph
partitioner,repartition
probationer,reprobation
therewithal,whitleather
accomplisher,reaccomplish
blepharocera,reproachable
clonicotonic,tonicoclonic
collectioner,recollection
commissioner,recommission
comprehender,recomprehend
concessioner,reconcession
conventioner,reconvention
correctioner,recorrection
foundationer,refoundation
manslaughter,slaughterman
percussioner,repercussion
photographer,rephotograph
possessioner,repossession
proportioner,reproportion
competitioner,recompetition
distinguisher,redistinguish
expressionism,misexpression
ganglioneuron,neuroganglion
impressionism,misimpression
associationism,misassociation
constitutioner,reconstitution
misrepresenter,remisrepresent
constructionism,misconstruction
ecclesiasticism,misecclesiastic
misunderstander,remisunderstand
configurationism,misconfiguration
constitutionalism,misconstitutional
anatomicopathologic,pathologicoanatomic
pericardiacophrenic,phrenicopericardiac
anatomicophysiologic,physiologicoanatomic
ableness,sensable
anchorer,reanchor
annealer,reanneal
appearer,reappear
assenter,reassent
attainer,reattain
attender,reattend
bletilla,tillable
birdling,lingbird
calorite,erotical
canceler,recancel
cementer,recement
rockwood,woodrock
defeater,redefeat
medimnos,misnomed
designer,redesign
diverter,redivert
fastener,refasten
forester,reforest
formalin,informal
formalin,laniform
infecter,reinfect
germinal,malinger
headskin,sinkhead
importer,reimport
intender,reintend
indicter,reindict
informer,reinform
ordainer,reordain
insulter,reinsult
inverter,reinvert
lamenter,relament
levanter,relevant
literose,roselite
outthrow,throwout
outworth,throwout
anticness,incessant
appealing,lagniappe
assaulter,reassault
consenter,reconsent
distender,redistend
dichroite,theriodic
inelegant,legantine
elasticin,inelastic
forminate,taeniform
gladdener,regladden
leatherer,releather
lightener,relighten
performer,reperform
maintainer,remaintain
astonisher,reastonish
complainer,recomplain
contracter,recontract
floodwater,waterflood
headmaster,streamhead
headstream,streamhead
instructer,reinstruct
ascertainer,reascertain
ethological,lethologica
provisioner,reprovision
obtainer,reobtain
amacrine,cinerama
anointer,reanoint
antacrid,cardiant
antacrid,radicant
mateship,shipmate
arabinic,carabini
resinate,teresina
assorter,reassort
betrayer,rebetray
canterer,recanter
directer,redirect
centered,decenter
centerer,recenter
colleter,recollet
listener,relisten
grateman,mangrate
grateman,mentagra
mangrate,targeman
insister,reinsist
inventer,reinvent
rootworm,wormroot
actioner,reaction
creationism,miscreation
